Produto_Aderencia;Produto
Creme de Ricota 200g;0400900004
Doce de Leite 400g;0400500004
Doce de Leite 5kg;0400500011
Doce de Leite 5kg - Bombeável;0400500017
Doce de Leite 5kg - Forneável;0400500016
Doce de Leite 800g;0400500008
Doce de Leite Cacau 400g;0400500006
Doce de Leite Cacau 5kg - Bombeável;0400500018
Doce de Leite Cacau 5kg - FOOD;0400500012
Doce de Leite Zero Açúcar e Lactose 400g;0400500019
Doce de Leite c/ Café 400;0400500013
Doce de Leite c/ Café 5KG;0400500014
Doce de Leite c/ Café 5kg;0400500014
Doce de Leite c/ coco 400;0400500005
IOGURTE VIÇOSA MORANGO LIGHT 180g;0400300044
IOGURTE VIÇOSA MORANGO LIGHT 800g;
Iogurte Abacaxi c/ Coco 120g;0400300032
Iogurte Abacaxi c/ Coco 185g;0400300033
Iogurte Abacaxi c/ Coco 900g;0400300041
Iogurte Coco 120g;0400300023
Iogurte Coco 185g;0400300015
Iogurte Coco 900g;0400300039
Iogurte Grego Frutas vermelhas 120g;0400300037
Iogurte Morango 120g;0400300019
Iogurte Morango 185g;0400300007
Iogurte Morango 900G;0400300038
Iogurte Natural Integral 170g;0400300026
Iogurte Natural Triplo Zero 170g;0400300036
Iogurte Salada 120g;0400300006
Iogurte Salada 185g;0400300010
Iogurte Salada 900g;0400300040
Iogurte Vida Leve Ameixa c/ Grãos 180g;0400300042
Iogurte Vida Leve Ameixa c/ Grãos 500g;0400300043
Iogurte Vida Leve Morango 180g;0400300044
Iogurte Vida Leve Morango 500g;0400300045
LEITE PASTEURIZADO VIÇOSA DESNATADO;0400800001
LEITE PASTEURIZADO VIÇOSA INTEGRAL;0400800002
LEITE PASTEURIZADO VIÇOSA ZERO LACTOSE INTEGRAL 1 L;0400800007
Manteiga 200g;0400600001
Manteiga 500g;0400600002
QUEIJO MINAS MEIA CURA (FRACIONADO);0400700007
QUEIJO MINAS MEIA CURA (INTEIRO);
QUEIJO MINAS PADRÃO (MEIA LUA);
QUEIJO MINAS PADRÃO VIÇOSA FRACIONADO ;0400700005
QUEIJO MUSSARELA 3KG;0400700002
QUEIJO MUSSARELA LANCHE;0400700001
REQUEIJÃO VIÇOSA 200g;0400900003
REQUEIJÃO VIÇOSA 400g;0400900002
Requeijão Light 200g;0400900005
