Produto;Nome_Curto;Descricao_Referencia
0400300006;Salada de Frutas 120g;IOG SALADA DE FRUTA 120g - IOGURTE VICOSA SALADA DE FRUTA 120g - UNICA - UNICA
0400300007;Morango 185g;IOG MORANGO 185g - IOGURTE VICOSA MORANGO 185g - UNICA - UNICA
0400300010;Salada de Frutas 185g;IOG SALADA DE FRUTA 185g - IOGURTE VICOSA SALADA DE FRUTA 185g - UNICA - UNICA
0400300015;Coco 185g;IOG COCO 185g - IOGURTE VICOSA COCO 185g - UNICA - UNICA
0400300019;Morango 120g;IOG MORANGO 120g - IOGURTE VICOSA MORANGO 120g - UNICA - UNICA
0400300023;Coco 120g;IOG COCO 120g - IOGURTE VICOSA COCO 120g - UNICA - UNICA
0400300026;Natural Integral 170g;IOG NATURAL INTEGRAL 170g - IOGURTE VICOSA NATURAL INTEGRAL 170g - UNICA - UNICA
0400300032;Abacaxi c/ Coco 120g;IOG ABACAXI COM COCO 120G - IOGURTE VICOSA ABACAXI COM COCO 120G - UNICA - UNICA
0400300033;Abacaxi c/ Coco 185g;IOG ABACAXI COM COCO 185G - IOGURTE VICOSA ABACAXI COM COCO 185G - UNICA - UNICA
0400300036;Natural Desnatado 170g;IOG NATU. DESNATADO TRIPLO ZERO 170g - IOGURTE VICOSA NATURAL DESNATADO TRIPLO ZERO 170G - UNICA - U
0400300037;Grego Frutas Verm. 120g;IOG GREGO FRUTAS VERM. 120G - IOGURTE VIÇOSA GREGO FRUTAS VERMELHAS 120G - UNICA - UNICA
0400300038;Morango 900g;IOG MORANGO 900g - IOGURTE VIÇOSA MORANGO 900g - UNICA - UNICA
0400300039;Coco 900g;IOG COCO 900g - IOGURTE VIÇOSA COCO 900g - UNICA - UNICA
0400300040;Salada de Frutas 900g;IOG SALADA DE FRUTAS 900g - IOGURTE VIÇOSA SALADA DE FRUTAS 900g - UNICA - UNICA
0400300041;Abacaxi c/ Coco 900g;IOG ABACAXI COM COCO 900g - IOGURTE VIÇOSA ABACAXI COM COCO 900g - UNICA - UNICA
0400300042;Ameixa c/ Grãos 180g;IOG AMEIXA COM GRAOS VIDA LEVE 180G - UNICA - UNICA
0400300043;Ameixa c/ Grãos 500g;IOG AMEIXA COM GRAOS VIDA LEVE 500G - UNICA - UNICA
0400300044;Vida Leve Morango 180g;IOG VICOSA MORANGO VIDA LEVE 180G - UNICA - UNICA
0400300045;Vida Leve Morango 500g;IOG VICOSA MORANGO VIDA LEVE 500G - UNICA - UNICA
0400500004;Tradicional 400g;DOCE DE LEITE VICOSA 400g - DOCE DE LEITE VICOSA 400g - UNICA - UNICA
0400500005;Coco 400g;DOCE DE LEITE C/ COCO 400g - DOCE DE LEITE VICOSA C/ COCO 400g - UNICA - UNICA
0400500006;Cacau 400g;DOCE DE LEITE C/ CACAU 400g - DOCE DE LEITE VICOSA C/ CACAU 400g - UNICA - UNICA
0400500008;Tradicional 800g;DOCE DE LEITE VICOSA 800g - DOCE DE LEITE VICOSA 800g - UNICA - UNICA
0400500011;Tradicional 5kg Bag;DOCE DE LEITE VICOSA 5KG - DOCE DE LEITE VICOSA 5KG - FOOD SERVICE - UNICA - UNICA
0400500012;Cacau 5kg Bag;DOCE DE LEITE  C/ CACAU 5KG - DOCE DE LEITE VICOSA C/ CACAU 5KG - FOOD SERVICE - UNICA - UNICA
0400500013;Café 400g;DOCE DE LEITE C/ CAFE 400g - DOCE DE LEITE VICOSA C/ CAFE 400g - UNICA - UNICA
