Produto;Gramatura_KG;UM_Origem;Descricao_Referencia
0400300006;0,12;UN;IOG SALADA DE FRUTA 120g - IOGURTE VICOSA SALADA DE FRUTA 120g - UNICA - UNICA
0400300007;0,185;UN;IOG MORANGO 185g - IOGURTE VICOSA MORANGO 185g - UNICA - UNICA
0400300010;0,185;UN;IOG SALADA DE FRUTA 185g - IOGURTE VICOSA SALADA DE FRUTA 185g - UNICA - UNICA
0400300015;0,185;UN;IOG COCO 185g - IOGURTE VICOSA COCO 185g - UNICA - UNICA
0400300019;0,12;UN;IOG MORANGO 120g - IOGURTE VICOSA MORANGO 120g - UNICA - UNICA
0400300023;0,12;UN;IOG COCO 120g - IOGURTE VICOSA COCO 120g - UNICA - UNICA
0400300026;0,17;UN;IOG NATURAL INTEGRAL 170g - IOGURTE VICOSA NATURAL INTEGRAL 170g - UNICA - UNICA
0400300032;0,12;UN;IOG ABACAXI COM COCO 120G - IOGURTE VICOSA ABACAXI COM COCO 120G - UNICA - UNICA
0400300033;0,185;UN;IOG ABACAXI COM COCO 185G - IOGURTE VICOSA ABACAXI COM COCO 185G - UNICA - UNICA
0400300036;0,17;UN;IOG NATU. DESNATADO TRIPLO ZERO 170g - IOGURTE VICOSA NATURAL DESNATADO TRIPLO ZERO 170G - UNICA - U
0400300037;0,12;UN;IOG GREGO FRUTAS VERM. 120G - IOGURTE VIÇOSA GREGO FRUTAS VERMELHAS 120G - UNICA - UNICA
0400300038;0,9;UN;IOG MORANGO 900g - IOGURTE VIÇOSA MORANGO 900g - UNICA - UNICA
0400300039;0,9;UN;IOG COCO 900g - IOGURTE VIÇOSA COCO 900g - UNICA - UNICA
0400300040;0,9;UN;IOG SALADA DE FRUTAS 900g - IOGURTE VIÇOSA SALADA DE FRUTAS 900g - UNICA - UNICA
0400300041;0,9;UN;IOG ABACAXI COM COCO 900g - IOGURTE VIÇOSA ABACAXI COM COCO 900g - UNICA - UNICA
0400300042;0,18;UN;IOG AMEIXA COM GRAOS VIDA LEVE 180G - UNICA - UNICA
0400300043;0,5;UN;IOG AMEIXA COM GRAOS VIDA LEVE 500G - UNICA - UNICA
0400300044;0,18;UN;IOG VICOSA MORANGO VIDA LEVE 180G - UNICA - UNICA
0400300045;0,5;UN;IOG VICOSA MORANGO VIDA LEVE 500G - UNICA - UNICA
0400500004;0,4;UN;DOCE DE LEITE VICOSA 400g - DOCE DE LEITE VICOSA 400g - UNICA - UNICA
0400500005;0,4;UN;DOCE DE LEITE C/ COCO 400g - DOCE DE LEITE VICOSA C/ COCO 400g - UNICA - UNICA
0400500006;0,4;UN;DOCE DE LEITE C/ CACAU 400g - DOCE DE LEITE VICOSA C/ CACAU 400g - UNICA - UNICA
0400500008;0,8;UN;DOCE DE LEITE VICOSA 800g - DOCE DE LEITE VICOSA 800g - UNICA - UNICA
0400500011;5,0;UN;DOCE DE LEITE VICOSA 5KG - DOCE DE LEITE VICOSA 5KG - FOOD SERVICE - UNICA - UNICA
0400500012;5,0;UN;DOCE DE LEITE  C/ CACAU 5KG - DOCE DE LEITE VICOSA C/ CACAU 5KG - FOOD SERVICE - UNICA - UNICA
0400500013;0,4;UN;DOCE DE LEITE C/ CAFE 400g - DOCE DE LEITE VICOSA C/ CAFE 400g - UNICA - UNICA
0400500014;5,0;UN;DOCE DE LEITE C/ CAFE 5KG - DOCE DE LEITE VICOSA C/ CAFE 5KG - FOOD SERVICE - UNICA - UNICA
0400500016;5,0;UN;DOCE DE LEITE VIÇOSA FORNEAVEL 5KG - DOCE DE LEITE VIÇOSA FORNEAVEL 5KG - FOOD SERVICE - UNICA - UNI
0400500017;5,0;UN;DOCE DE LEITE VICOSA 5KG - BOMBEÁVEL - UNICA - UNICA
0400500018;5,0;UN;DOCE DE LEITE VICOSA C/ CACAU 5KG - BOMBEÁVEL - UNICA - UNICA
0400500019;0,4;UN;DOCE DE LEITE VICOSA ZERO ACUCAR E LACTOSE 400G - UNICA - UNICA
0400600001;0,2;UN;MANTEIGA VICOSA 200g - MANTEIGA VICOSA 200g - UNICA - UNICA
0400600002;0,5;UN;MANTEIGA VICOSA 500g - MANTEIGA VICOSA 500g - UNICA - UNICA
0400700001;1;KG;QUEIJO MUSSARELA VICOSA LANCHE - QUEIJO MUSSARELA VICOSA LANCHE - UNICA - UNICA
0400700002;1;KG;QUEIJO MUSSARELA VICOSA 3KG COM 2PC - QUEIJO MUSSARELA VICOSA 3KG COM 2PC - UNICA - UNICA
0400700005;1;KG;QUEIJO MINAS PADRAO VICOSA FRACIONADO - QUEIJO MINAS PADRAO VICOSA FRACIONADO - UNICA - UNICA
0400700007;1;KG;QUEIJO MINAS MEIA CURA VICOSA FRACIONADO - QUEIJO MINAS MEIA CURA VICOSA FRACIONADO - UNICA - UNICA
0400800001;1,0;L;LEITE PASTEURIZADO VICOSA DESNATADO - LEITE PASTEURIZADO VICOSA DESNATADO - UNICA - UNICA
0400800002;1,0;L;LEITE PASTEURIZADO VICOSA INTEGRAL - LEITE PASTEURIZADO VICOSA INTEGRAL - UNICA - UNICA
0400800007;1,0;UN;LEITE PASTEURIZADO VICOSA ZERO LACTOSE 1L - UNICA - UNICA
0400900002;0,4;UN;REQUEIJAO VICOSA 400g - REQUEIJAO VICOSA 400g - UNICA - UNICA
0400900003;0,2;UN;REQUEIJAO VICOSA COPO 200G - REQUEIJAO VICOSA COPO 200G - UNICA - UNICA
0400900004;0,2;UN;CREME DE RICOTA VICOSA 200G - UNICA - UNICA
0400900005;0,2;UN;REQUEIJAO VICOSA LIGHT 200G - UNICA - UNICA
